objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,dest_zona,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,campo,tip_operac,tip_serv,dias_oper,comp_sitp,tip_hor,tipo_oper,ruta_rural,globalid,horas_servicio,cluster_riesgo
3537,ALI,8-5,Biblioteca Tintal,Banderas,Biblioteca Tintal,Alimentadora,-,8,8,7.91061832,Este Es Mi Bus - Tz,3669.0,8-5a,7.0,8,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{DEB49C63-C962-4B44-899F-01297A94ED8E},0.0,3
3538,GGG,GG514,San Jose - Portal Sur,San Jose,Portal Sur,Bosa,-,7,7,6.05393912,Etib - Bo,3806.0,G514-2,9.0,9,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,3,3.0,,1,2,,{DEDA343F-FA11-4A25-AD4C-02CC12020A6B},0.0,3
3539,ALI,C104,Suba Compartir,Portal Suba,Suba Compartir,Alimentadora,15/07/2024,11,11,10.50537469,Este Es Mi Bus - Co,3940.0,C104-3,3.0,3,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{DEFCF27D-8437-4BA1-AFB9-06ADFBEA50D3},0.0,3
3540,BBB,KB326,Prado Grande - Unicentro,Unicentro,Prado Grande,Usaquen,11/05/2022,9,1,22.42080169,Consorcio Express N,4105.0,K326-2,1.0,6,04:00-22:00,-,-,1,3.0,,2,3,1.0,,1,2,,{DF0C7986-8590-44CA-912A-2885B30B4346},18.0,2
3541,LLL,LH811,Aguas Claras - Restrepo,Restrepo,Aguas Claras,San Cristobal,19/10/2021,4,15,6.56093136,Consorcio Express D,3960.0,L811-2,11.0,13,04:00-19:00,04:00-19:00,04:00-19:00,1,4.0,,2,3,3.0,,1,2,,{DF27821A-7E59-40D3-ACE8-2C259DD0C573},15.0,1
3542,ALI,6-3,Sierra Morena,Portal Tunal,Sierra Morena,Alimentadora,-,6,19,12.23643247,Suma - Bc,3944.0,6-3a,10.0,11,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{DF3DDD3C-E07C-40DB-B840-A7C2CD12BE40},0.0,3
3543,66,BC50,C50,Calle 161,Portal Suba,Suba,-,1,11,20.22111342,No Aplica,,C50,3.0,1,16:30 - 20:00,0,0,1,1.0,,1,1,1.0,,4,1,,{DF4746A9-7C62-4486-975E-0340E520FBB8},3.5,3
3544,BBB,KB303,Hb-Fontibon - Unicentro,Hb-Fontibon,Unicentro,Usaquen,4/06/2024,9,1,30.57326381,E-Somos Fontibon,4172.0,B303-1,1.0,6,04:00-00:00,04:00-00:00,04:00-00:00,1,3.0,,2,3,3.0,,1,2,,{DFA9E30E-B3EF-4F1B-A88E-6BDC78E9B714},20.0,2
3545,HHH,HK700,Bellavista - Terminal Salitre,Terminal Salitre,Bellavista,Usme/ Ciudad Bolivar,16/01/2021,5,9,25.91433169,Gran Americas Usme,3604.0,H700-2,6.0,12,04:00-00:00,04:00-00:00,04:00-00:00,1,3.0,,2,3,3.0,,1,2,,{DFADD41C-34A0-4367-8E81-A8F6D0503279},20.0,2
3546,ALI,8-3,Castilla,Banderas,Castilla,Alimentadora,-,8,8,8.06452968,Este Es Mi Bus - Tz,3812.0,8-3a,7.0,8,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{DFB59036-4C76-4B5E-81CE-1040F87DECCE},0.0,3
3547,119,L81-D81,L81 Ref Cl,Carrera 11 Calle 72,Portal 20 De Julio,San Cristobal,-,2,4,12.52960454,No Aplica,,L81 Ref CL,13.0,0,16:00 - 20:00,0,0,1,3.0,,1,2,1.0,,1,1,,{E05ECE95-4E39-44C1-A798-84DE0736B0B3},4.0,3
3548,BBB,DB217,Sabana Del Dorado - Unicentro,Sabana Del Dorado,Unicentro,Usaquen,20/08/2024,10,1,40.5171449,Consorcio Express N,4502.0,DB217-3,1.0,5,04:00-23:00,04:00-23:00,04:00-23:00,,5.0,,2,3,3.0,,1,2,,{E0F1CC95-7CE4-40C6-B960-27AA8095A65A},19.0,0
3549,34,2,2 M,Portal 20 De Julio,Museo Nacional - FNG,Neutra,-,4,3,7.07826325,No Aplica,,2 P,0.0,13,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,1,2.0,,1,1,3.0,,1,1,,{E11F2E8B-0C33-4AF2-8904-34544F46BA1C},18.5,1
3550,ALI,8-4,Corabastos,Banderas,Corabastos,Alimentadora,-,8,8,6.00878858,Masivo Capital - Ke,2929.0,8-4a,8.0,8,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{E1347700-DA47-457D-9AB1-F3898BEEB679},0.0,3
3551,CCC,CA153,Suba La Gaitana - Centro,Centro,Suba La Gaitana,Suba,23/07/2022,11,3,22.1870996,Emasivo 16,3902.0,C153-2,0.0,3,04:00-21:30,04:00-21:30,04:00-21:30,1,3.0,,2,3,3.0,,1,2,,{E1400D65-40F8-4529-B9F3-6DE402B76CC3},17.5,2
3552,COM,13-5,Las Paces -  Est. Av 1 Mayo,Av 1 Mayo,Las Paces,Complementaria,-,18,4,16.03904834,Consorcio Express D,4157.0,13-5c,12.0,12,03:30-23:00,03:30-23:00,03:30-23:00,1,4.0,,2,5,3.0,,1,2,,{E183E18C-381B-4BD3-B687-01FA1E9CF74C},19.5,1
3553,ALI,6-7,San Joaquin,Portal Tunal,San Joaquin,Alimentadora,-,6,19,11.21349466,Suma - Bc,2871.0,6-7a,11.0,11,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{E248CDCF-B4C3-431A-8928-01FF18328BCB},0.0,3
3554,AAA,LA814,Horacio Orjuela - Porciuncula,Horacio Orjuela,Porciuncula,Neutra,31/01/2022,4,2,14.92633583,Consorcio Express N,4037.0,A814-1,0.0,13,04:30-19:00,04:30-19:00,04:30-19:00,1,4.0,,2,3,3.0,,1,2,,{E26ED266-92CF-4B24-A97B-5BA7ABA1294C},14.5,1
3556,LLL,HL636,Rincon De Venecia - San Blas Ii,Rincon De Venecia,San Blas Ii,San Cristobal,27/03/2023,4,6,12.88536306,Odt La Rolita,4235.0,L636-2,10.0,13,03:30-22:00,03:30-22:00,03:30-22:00,1,4.0,,2,3,3.0,,1,2,,{E2AD50E0-3107-4CA9-A826-6AFABB6A9D12},18.5,1
3557,20,2,2 P,Museo Nacional - FNG,Portal 20 De Julio,San Cristobal,-,3,4,7.26857551,No Aplica,,2 M,13.0,0,04:30 - 23:00,04:00 - 23:00,04:30 - 22:00,1,2.0,,1,1,3.0,,1,1,,{E301324A-95A1-4CFC-A705-63D0714382C7},18.5,1
3558,ALI,13-7,La Peninsula,Portal 20 Julio,La Peninsula,Alimentadora,-,4,4,6.63146536,Consorcio Express D,3069.0,13-7a,13.0,13,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{E31E0A3C-8C97-4447-B8E3-868A901AEB9C},0.0,3
3559,KKK,KA306,Zona Franca - Centro Andino,Centro Andino,Zona Franca,Calle 26,15/01/2023,9,2,20.85099194,Este Es Mi Bus - Tz,3668.0,K306-2,0.0,6,04:00-22:00,04:00-22:00,04:00-22:00,1,3.0,,2,3,3.0,,1,2,,{E35C0FE7-3B95-4F2E-BAF1-4435BCA1B1B8},18.0,2
3560,29,CG30,G30,Portal Suba,Portal Sur - Jfk Coop. F,Soacha,-,11,7,26.56000011,No Aplica,,G30,9.0,3,5:00-9:00/15:00-20:0,05:00 - 15:00,0,1,2.0,,1,1,2.0,,2,1,,{E4005293-6CC1-487F-B0DF-108ACE0D0953},9.0,2
3561,FFF,HF615,Arborizadora Alta - Est. Biblioteca Tintal,Arborizadora Alta, Est. Biblioteca Tintal,Americas,5/12/2022,19,8,14.59491762,Suma - Bc,3705.0,F615-1,8.0,11,04:00-22:00,04:00-22:00,04:00-22:00,1,3.0,,2,3,3.0,,1,2,,{E43F8903-2902-49E6-AD01-585A17CFE594},18.0,1
3562,HHH,HA643,Paloquemao - San Joaquín,Paloquemao,San Joaquin,Usme/ Ciudad Bolivar,10/03/2025,14,1,,Suma - Bc,4541.0,HA643-2,1.0,0,04:00-21:00,04:00-21:00,05:30-19:00,1,3.0,,2,3,3.0,,1,2,,{E502CA20-EAFA-4067-9212-F7C360333015},17.0,1
3563,COL,E16A,Bosa San Jose - Colina / Cl 153,Bosa San Jose,Colina / Cl 153,Colina,25/11/2019,7,11,28.3580202,Etib - Bo,3323.0,E16A-1,2.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{E52A0B3A-8349-47A8-BA01-5A5A661C825F},19.0,2
3564,ALI,11-3,Villa Maria,Portal Suba,Villa Maria,Alimentadora,-,11,11,6.60358392,Este Es Mi Bus - Co,2863.0,11-3a,3.0,3,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{E6610B39-0FED-4A7F-832D-C1807F729429},0.0,3
3566,BBB,KB309,San Pablo - Lijaca,San Pablo,Lijaca,Usaquen,14/04/2025,9,1,35.31569103,Gmovil - E,4192.0,B309-1,1.0,6,04:00-21:00,04:00-21:00,04:00-21:00,1,4.0,,2,3,3.0,,1,2,,{E70B308E-ADDB-4111-876A-AECE264E9ED4},17.0,0
